"","site_id","CellName","Quadrant","detector_model","detector_type","night","spp","n_calls","legacy_model","site_night"
"165","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-18,"LABO",0,"SM2","Castlegar_NE|2025-06-18"
"166","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-18,"LACI",1,"SM2","Castlegar_NE|2025-06-18"
"167","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-18,"LANO",2,"SM2","Castlegar_NE|2025-06-18"
"168","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-18,"MYCA",4,"SM2","Castlegar_NE|2025-06-18"
"169","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-18,"MYCI",0,"SM2","Castlegar_NE|2025-06-18"
"170","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-18,"MYEV",1,"SM2","Castlegar_NE|2025-06-18"
"171","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-18,"MYLU",12,"SM2","Castlegar_NE|2025-06-18"
"172","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-18,"MYSE",4,"SM2","Castlegar_NE|2025-06-18"
"173","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-18,"MYTH",0,"SM2","Castlegar_NE|2025-06-18"
"174","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-18,"MYVO",1,"SM2","Castlegar_NE|2025-06-18"
"175","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-18,"MYYU",0,"SM2","Castlegar_NE|2025-06-18"
"176","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-18,"PAHE",0,"SM2","Castlegar_NE|2025-06-18"
"177","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-19,"ANPA",3,"SM2","Castlegar_NE|2025-06-19"
"178","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-19,"COTO",0,"SM2","Castlegar_NE|2025-06-19"
"179","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-19,"EPFU",3,"SM2","Castlegar_NE|2025-06-19"
"180","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-19,"EUMA",0,"SM2","Castlegar_NE|2025-06-19"
"181","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-19,"LABO",0,"SM2","Castlegar_NE|2025-06-19"
"182","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-19,"LACI",1,"SM2","Castlegar_NE|2025-06-19"
"183","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-19,"LANO",1,"SM2","Castlegar_NE|2025-06-19"
"184","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-19,"MYCA",0,"SM2","Castlegar_NE|2025-06-19"
"185","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-19,"MYCI",0,"SM2","Castlegar_NE|2025-06-19"
"186","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-19,"MYEV",0,"SM2","Castlegar_NE|2025-06-19"
"187","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-19,"MYLU",13,"SM2","Castlegar_NE|2025-06-19"
"188","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-19,"MYSE",2,"SM2","Castlegar_NE|2025-06-19"
"189","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-19,"MYTH",0,"SM2","Castlegar_NE|2025-06-19"
"190","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-19,"MYVO",1,"SM2","Castlegar_NE|2025-06-19"
"191","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-19,"MYYU",0,"SM2","Castlegar_NE|2025-06-19"
"192","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-19,"PAHE",0,"SM2","Castlegar_NE|2025-06-19"
"193","Castlegar_NE","Castlegar","NE","Anabat_Chorus","Anabat_Chorus",2025-06-20,"ANPA",0,"SM2","Castlegar_NE|2025-06-20"
