site_id,CellName,Quadrant,detector_model,detector_type,paired_detector,night,sppWA,n_calls,site_night
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-19,MYCI,0,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-19,MYEV,1,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-19,MYLU,10,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-19,MYSE,0,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-19,MYTH,0,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-19,MYVO,0,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-19,MYYU,0,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-19,PAHE,0,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-20,ANPA,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-20,COTO,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-20,EPFU,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-20,EUMA,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-20,LABO,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-20,LACI,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-20,LANO,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-20,MYCA,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-20,MYCI,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-20,MYEV,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-20,MYLU,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-20,MYSE,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-20,MYTH,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-20,MYVO,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-20,MYYU,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-20,PAHE,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-21,ANPA,0,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-21,COTO,0,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-21,EPFU,0,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-21,EUMA,0,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-21,LABO,0,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-21,LACI,0,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-21,LANO,0,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-21,MYCA,0,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-21,MYCI,0,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-21,MYEV,0,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-21,MYLU,1,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-21,MYSE,0,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-21,MYTH,0,Castlegar_NE|2025-06-21
